A0: 1 Cores	 0.75 GB RAM	 20 GB ~ 0.077 - 56.37~ 0.048 - 423.11~ 0.034 - 880.38 ~ A0
A1: 1 Cores	 1.75 GB RAM	 70 GB ~ 0.077 - 56.37~ 0.048 - 423.11~ 0.034 - 880.38
A2: 2 Cores	 3.5 GB RAM	 135 GB ~ 0.077 - 56.37~ 0.048 - 423.11~ 0.034 - 880.38
A3: 4 Cores	 7 GB RAM	 285 GB~ 0.077 - 56.37~ 0.048 - 423.11~ 0.034 - 880.38
A4: 8 Cores	 14 GB RAM	 605 GB 
A5: 2 Cores	 14 GB RAM	 135 GB 
A6: 4 Cores	 28 GB RAM	 285 GB 
A7: 8 Cores	 56 GB RAM	 605 GB 
A1 v2: 1 Cores	 2 GB RAM	 10 GB 
A2 v2: 2 Cores	 4 GB RAM	 20 GB 
A4 v2: 4 Cores	 8 GB RAM	 40 GB 
A8 v2: 8 Cores	 16 GB RAM	 80 GB 
A2m v2: 2 Cores	 16 GB RAM	 20 GB 
A4m v2: 4 Cores	 32 GB RAM	 40 GB 
A8m v2: 8 Cores	 64 GB RAM	 80 GB 
B1s: 1 Cores	 1 GB RAM	 4 GB 
B2s: 2 Cores	 4 GB RAM	 8 GB 
B1ms: 1 Cores	 2 GB RAM	 4 GB 
B2ms: 2 Cores	 8 GB RAM	 16 GB 
B4ms: 4 Cores	 16 GB RAM	 32 GB ~ 0.166 - 121 ~ 0.0974 - 71/month ~ 0.0626 - 45.67/month ~ 4 vCPU 16 GB Memory
B8ms: 8 Cores	 32 GB RAM	 64 GB 
B12ms: 12 Cores	 48 GB RAM	 96 GB 
B16ms: 16 Cores	 64 GB RAM	 128 GB 
B20ms: 20 Cores	 80 GB RAM	 160 GB 
DS111 v2: 1 vCPUs	 14 GB RAM	 28 GB 
DS121 v2: 1 vCPUs	 28 GB RAM	 56 GB 
DS122 v2: 2 vCPUs	 28 GB RAM	 56 GB 
DS132 v2: 2 vCPUs	 56 GB RAM	 112 GB 
DS134 v2: 4 vCPUs	 56 GB RAM	 112 GB 
DS144 v2: 4 vCPUs	 112 GB RAM	 224 GB 
DS148 v2: 8 vCPUs	 112 GB RAM	 224 GB 
E42ads v5: 2 vCPUs	 32 GB RAM	 150 GB 
E82ads v5: 2 vCPUs	 64 GB RAM	 300 GB 
E84ads v5: 4 vCPUs	 64 GB RAM	 300 GB 
E164ads v5: 4 vCPUs	 128 GB RAM	 600 GB 
E168ads v5: 8 vCPUs	 128 GB RAM	 600 GB 
E328ads v5: 8 vCPUs	 256 GB RAM	 1200 GB 
E3216ads v5: 16 vCPUs	 256 GB RAM	 1200 GB 
E6416ads v5: 16 vCPUs	 512 GB RAM	 2400 GB 
E6432ads v5: 32 vCPUs	 512 GB RAM	 2400 GB 
E9624ads v5: 24 vCPUs	 672 GB RAM	 3600 GB 
E9648ads v5: 48 vCPUs	 672 GB RAM	 3600 GB 
E42as v4: 2 vCPUs	 32 GB RAM	 100 GB 
E82as v4: 2 vCPUs	 64 GB RAM	 200 GB 
E84as v4: 4 vCPUs	 64 GB RAM	 200 GB 
E164as v4: 4 vCPUs	 128 GB RAM	 400 GB 
E168as v4: 8 vCPUs	 128 GB RAM	 400 GB 
E328as v4: 8 vCPUs	 256 GB RAM	 800 GB 
E3216as v4: 16 vCPUs	 256 GB RAM	 800 GB 
E6416as v4: 16 vCPUs	 512 GB RAM	 1600 GB 
E6432as v4: 32 vCPUs	 512 GB RAM	 1600 GB 
E9624as v4: 24 vCPUs	 672 GB RAM	 2400 GB 
E9648as v4: 48 vCPUs	 672 GB RAM	 2400 GB 
E42as v5: 2 vCPUs	 32 GB RAM	 0 GB 
E82as v5: 2 vCPUs	 64 GB RAM	 0 GB 
E84as v5: 4 vCPUs	 64 GB RAM	 0 GB 
E164as v5: 4 vCPUs	 128 GB RAM	 0 GB 
E168as v5: 8 vCPUs	 128 GB RAM	 0 GB 
